state,name,url,priority,category
Central,MCC,https://mcc.nic.in/,HIGH,UG_PG
Central,AACCC Ayush,https://aaccc.gov.in/,HIGH,Ayush
Central,NMC,https://www.nmc.org.in/,HIGH,Regulator
Central,NBE,https://nbe.edu.in/,HIGH,Regulator
Central,NBE Natboard,https://www.natboard.edu.in/,HIGH,Regulator
Central,NTA NEET,https://neet.nta.nic.in/,HIGH,Exam
Central,NTA,https://nta.ac.in/,HIGH,Exam
UttarPradesh,UP NEET,https://upneet.gov.in/,HIGH,UG_PG
UttarPradesh,UP DGME,http://dgme.up.gov.in/Welcome/counselling,HIGH,UG_PG
UttarPradesh,UP DGME Main,http://www.dgme.up.gov.in/,HIGH,UG_PG
UttarPradesh,UP Ayush,https://www.upayushcounseling.upsdc.gov.in/default.aspx,HIGH,Ayush
Rajasthan,Rajasthan DME,https://medicaleducation.rajasthan.gov.in/me/#/home/dptHome,HIGH,UG_PG
Rajasthan,Rajasthan Education,https://educationsector.rajasthan.gov.in/,HIGH,UG_PG
Rajasthan,Rajasthan UG NEET,https://www.rajugneet2024.org/,HIGH,UG
Rajasthan,Rajasthan PG NEET,https://www.rajpgneet2024.org/,HIGH,PG
Rajasthan,Rajasthan MDS,https://www.rajmdsneet2024.org/,HIGH,MDS
Rajasthan,Rajasthan Ayush,https://rajugpgayushcounselling.in/,HIGH,Ayush
Gujarat,Gujarat MedAdm,http://www.medadmgujarat.org/,HIGH,UG_PG
MadhyaPradesh,MP DME,https://dme.mponline.gov.in/,HIGH,UG_PG
MadhyaPradesh,MP MedEd,https://medicaleducation.mp.gov.in/,HIGH,UG_PG
MadhyaPradesh,MP Ayush,https://ayush.mponline.gov.in/,HIGH,Ayush
Bihar,Bihar BCECE,https://bceceboard.bihar.gov.in/,HIGH,UG_PG
Maharashtra,Maharashtra CET 2022,https://cetcell.mahacet.org/CAP_landing_page_2022/,HIGH,UG_PG
Maharashtra,Maharashtra CET 2023,https://cetcell.mahacet.org/CAP_landing_page_2023/,HIGH,UG_PG
Central,AIIMS,https://www.aiimsexams.ac.in/,MEDIUM,Exam
Central,JIPMER,https://jipmer.edu.in/,MEDIUM,UG_PG
Central,AFMC,https://www.afmc.nic.in/,MEDIUM,Exam
Central,AFMC DG,https://www.afmcdg1d.gov.in/,MEDIUM,Exam
Central,JEE Main,https://jeemain.nta.nic.in/,MEDIUM,Exam
Central,JEE Advanced,https://jeeadv.ac.in/,MEDIUM,Exam
Central,ESIC,https://www.esic.nic.in/,MEDIUM,UG_PG
Central,VCI,https://vci.admissions.nic.in/,MEDIUM,Vet
